Date,Transaction Description,Category,Amount,Type
2023-09-28,McDonalds,Food & Drink,47.88,Expense
2023-09-06,Internet,Utilities,62.59,Expense
2021-09-04,Online Shop,Shopping,125.85,Expense
2020-04-08,KFC,Food & Drink,8.38,Expense
2024-05-05,Online Shop,Shopping,126.62,Expense
2024-12-16,Electricity Bill,Utilities,35.24,Expense
2024-05-30,Cinema,Entertainment,36.21,Expense
2022-12-15,Clothes,Shopping,22.88,Expense
2020-04-20,Electricity Bill,Utilities,57.89,Expense
2024-12-12,Internet,Utilities,78.17,Expense
2022-03-22,Netflix,Entertainment,70.25,Expense
2020-10-22,Netflix,Entertainment,36.45,Expense
2023-10-31,Clothes,Shopping,55.71,Expense
2021-08-12,Online Shop,Shopping,57.65,Expense
2022-03-12,Clothes,Shopping,131.84,Expense
2020-12-02,Starbucks,Food & Drink,77.89,Expense
2024-12-06,Internet,Utilities,64.04,Expense
2021-05-25,Clothes,Shopping,9.34,Expense
2024-05-31,Electricity Bill,Utilities,59.22,Expense
2020-06-24,Electricity Bill,Utilities,27.15,Expense
2022-12-09,Online Shop,Shopping,78.71,Expense
2022-04-04,KFC,Food & Drink,39.88,Expense
2022-06-20,Internet,Utilities,55.08,Expense
2024-07-21,Electricity Bill,Utilities,35.99,Expense
2021-09-03,Cinema,Entertainment,30.64,Expense
2021-01-20,Internet,Utilities,47.59,Expense
2020-11-23,McDonalds,Food & Drink,65.21,Expense
2021-03-21,Netflix,Entertainment,100.94,Expense
2021-05-23,Internet,Utilities,102.98,Expense
2022-06-25,Electricity Bill,Utilities,69.88,Expense
2023-12-28,Internet,Utilities,10.26,Expense
2024-02-21,Clothes,Shopping,16.91,Expense
2024-02-08,KFC,Food & Drink,29.13,Expense
2022-05-17,Electricity Bill,Utilities,14.45,Expense
2023-10-25,Internet,Utilities,20.85,Expense
2024-06-04,Cinema,Entertainment,8.74,Expense
2024-10-03,Electricity Bill,Utilities,60.94,Expense
2021-05-20,Netflix,Entertainment,20.4,Expense
2023-01-30,Netflix,Entertainment,43.57,Expense
2022-03-30,Electricity Bill,Utilities,42.73,Expense
2024-01-22,KFC,Food & Drink,74.57,Expense
2023-09-07,Netflix,Entertainment,42.43,Expense
2020-06-15,KFC,Food & Drink,76.17,Expense
2022-05-09,Online Shop,Shopping,30.61,Expense
2024-02-11,Internet,Utilities,93.04,Expense
2021-03-19,Cinema,Entertainment,70.18,Expense
2020-10-17,Netflix,Entertainment,126.56,Expense
2024-05-13,Electricity Bill,Utilities,37.8,Expense
2023-10-19,Electricity Bill,Utilities,27.46,Expense
2023-06-24,Netflix,Entertainment,40.17,Expense
2023-11-28,KFC,Food & Drink,20.81,Expense
2022-04-06,Starbucks,Food & Drink,54.59,Expense
2024-01-11,Online Shop,Shopping,19.18,Expense
2024-10-19,Internet,Utilities,121.28,Expense
2023-03-19,Clothes,Shopping,137.03,Expense
2020-08-24,Clothes,Shopping,74.88,Expense
2020-07-11,Online Shop,Shopping,63.12,Expense
2023-03-20,Online Shop,Shopping,47.58,Expense
2024-11-19,Online Shop,Shopping,58.34,Expense
2021-03-25,Electricity Bill,Utilities,61.34,Expense
2023-04-26,McDonalds,Food & Drink,5.05,Expense
2021-05-30,Online Shop,Shopping,65.05,Expense
2023-05-25,McDonalds,Food & Drink,62.13,Expense
2023-11-25,Online Shop,Shopping,56.07,Expense
2021-11-13,Internet,Utilities,39.13,Expense
2024-09-14,Netflix,Entertainment,25.71,Expense
2024-04-28,Cinema,Entertainment,34.79,Expense
2024-02-15,Starbucks,Food & Drink,56.62,Expense
2022-08-17,Electricity Bill,Utilities,57.24,Expense
2023-05-29,Online Shop,Shopping,75.28,Expense
2022-06-16,Clothes,Shopping,14.47,Expense
2020-01-18,Internet,Utilities,131.23,Expense
2021-07-10,Clothes,Shopping,52.73,Expense
2020-10-23,Clothes,Shopping,14.76,Expense
2020-05-19,Internet,Utilities,45.64,Expense
2021-01-09,Electricity Bill,Utilities,55.12,Expense
2021-09-21,KFC,Food & Drink,49.03,Expense
2022-06-21,KFC,Food & Drink,40.59,Expense
2023-06-20,Netflix,Entertainment,79.86,Expense
2023-08-07,Electricity Bill,Utilities,57.47,Expense
2020-04-30,Netflix,Entertainment,64.81,Expense
2023-09-17,Cinema,Entertainment,76.53,Expense
2022-06-06,Online Shop,Shopping,64.48,Expense
2020-06-04,Netflix,Entertainment,14.26,Expense
2021-05-16,Clothes,Shopping,60.12,Expense
2024-01-11,McDonalds,Food & Drink,43.01,Expense
2023-11-19,McDonalds,Food & Drink,86.81,Expense
2021-09-02,Cinema,Entertainment,16.4,Expense
2023-02-11,Internet,Utilities,102.01,Expense
2023-03-31,Netflix,Entertainment,44.93,Expense
2023-11-10,McDonalds,Food & Drink,26.23,Expense
2021-06-21,KFC,Food & Drink,67.06,Expense
2021-07-18,Netflix,Entertainment,61.77,Expense
2023-12-12,Online Shop,Shopping,42.34,Expense
2023-11-08,Internet,Utilities,20.08,Expense
2024-08-05,Clothes,Shopping,19.02,Expense
2021-04-03,Clothes,Shopping,72.67,Expense
2020-05-27,Netflix,Entertainment,31.21,Expense
2020-09-12,Cinema,Entertainment,134.27,Expense
2024-09-13,Internet,Utilities,47.37,Expense
2023-07-26,KFC,Food & Drink,37.27,Expense
2022-05-12,Cinema,Entertainment,68.09,Expense
2021-04-25,Electricity Bill,Utilities,106.97,Expense
2021-11-29,Clothes,Shopping,30.46,Expense
2022-06-14,Cinema,Entertainment,60.37,Expense
2022-03-13,Clothes,Shopping,77.3,Expense
2020-05-12,Netflix,Entertainment,32.22,Expense
2021-07-05,KFC,Food & Drink,67.62,Expense
2022-06-20,Cinema,Entertainment,72.72,Expense
2024-09-15,Netflix,Entertainment,55.06,Expense
2021-10-03,Online Shop,Shopping,91.14,Expense
2024-04-06,Clothes,Shopping,32.86,Expense
2020-12-27,Cinema,Entertainment,61.99,Expense
2021-01-22,Clothes,Shopping,76.19,Expense
2023-03-30,Internet,Utilities,56.8,Expense
2021-04-04,McDonalds,Food & Drink,130.64,Expense
2024-09-02,Netflix,Entertainment,40.11,Expense
2024-12-16,Electricity Bill,Utilities,36.45,Expense
2024-07-06,KFC,Food & Drink,92.96,Expense
2024-09-04,Internet,Utilities,51.95,Expense
2024-01-28,Starbucks,Food & Drink,49.7,Expense
2021-04-30,McDonalds,Food & Drink,73.58,Expense
2021-08-13,Clothes,Shopping,54.61,Expense
2021-06-21,KFC,Food & Drink,62.09,Expense
2021-02-15,Clothes,Shopping,60.24,Expense
2020-10-28,Online Shop,Shopping,65.73,Expense
2022-07-30,Cinema,Entertainment,22.22,Expense
2020-11-20,Clothes,Shopping,26.3,Expense
2024-12-12,Internet,Utilities,13.36,Expense
2023-12-12,Clothes,Shopping,31.09,Expense
2021-08-12,Starbucks,Food & Drink,6.04,Expense
2020-08-08,Electricity Bill,Utilities,105.45,Expense
2020-08-20,Netflix,Entertainment,71.38,Expense
2020-05-08,Cinema,Entertainment,14.1,Expense
2024-04-17,Starbucks,Food & Drink,63.31,Expense
2022-02-05,Online Shop,Shopping,20.5,Expense
2024-08-28,Clothes,Shopping,68.14,Expense
2020-06-16,Netflix,Entertainment,7.01,Expense
2021-04-12,Internet,Utilities,53.46,Expense
2022-05-03,Internet,Utilities,60.61,Expense
2024-02-22,Internet,Utilities,8.62,Expense
2021-07-26,Netflix,Entertainment,77.75,Expense
2022-04-14,KFC,Food & Drink,55.54,Expense
2022-10-05,Cinema,Entertainment,22.71,Expense
2020-02-16,KFC,Food & Drink,46.85,Expense
2020-09-03,Electricity Bill,Utilities,41.39,Expense
2023-04-09,Cinema,Entertainment,139.93,Expense
2021-07-27,Electricity Bill,Utilities,62.69,Expense
2022-07-16,Internet,Utilities,83.6,Expense
2020-11-08,KFC,Food & Drink,29.14,Expense
2023-03-31,Netflix,Entertainment,60.78,Expense
2022-12-25,Clothes,Shopping,66.55,Expense
2024-02-26,KFC,Food & Drink,48.06,Expense
2023-11-04,Electricity Bill,Utilities,141.78,Expense
2024-06-16,Clothes,Shopping,36.72,Expense
2024-11-08,Cinema,Entertainment,9.68,Expense
2021-12-29,Online Shop,Shopping,71.21,Expense
2024-11-12,Starbucks,Food & Drink,73.44,Expense
2021-07-28,Starbucks,Food & Drink,55.49,Expense
2023-03-29,Cinema,Entertainment,59.27,Expense
2024-03-12,Cinema,Entertainment,12.5,Expense
2020-12-20,KFC,Food & Drink,55.94,Expense
2020-07-10,Internet,Utilities,68.65,Expense
2023-12-17,Starbucks,Food & Drink,65.44,Expense
2020-11-18,Electricity Bill,Utilities,53.62,Expense
2024-06-30,Electricity Bill,Utilities,136.91,Expense
2024-07-12,Cinema,Entertainment,61.8,Expense
2022-03-29,Online Shop,Shopping,36.55,Expense
2024-07-10,Electricity Bill,Utilities,75.9,Expense
2023-09-07,Electricity Bill,Utilities,58.19,Expense
2021-05-08,McDonalds,Food & Drink,116.81,Expense
2021-08-13,Internet,Utilities,39.0,Expense
2023-06-10,Electricity Bill,Utilities,57.49,Expense
2023-07-26,Online Shop,Shopping,19.7,Expense
2022-10-14,Internet,Utilities,46.34,Expense
2021-07-30,Internet,Utilities,5.36,Expense
2024-07-02,Cinema,Entertainment,33.26,Expense
2024-10-21,Electricity Bill,Utilities,57.75,Expense
2023-06-29,Starbucks,Food & Drink,71.56,Expense
2020-09-29,Cinema,Entertainment,50.76,Expense
2023-09-16,Clothes,Shopping,45.27,Expense
2024-04-09,Cinema,Entertainment,61.88,Expense
2024-12-26,Internet,Utilities,32.38,Expense
2024-12-09,KFC,Food & Drink,56.02,Expense
2023-01-18,Clothes,Shopping,25.74,Expense
2021-06-08,Internet,Utilities,26.18,Expense
2023-07-22,KFC,Food & Drink,134.28,Expense
2021-08-06,Cinema,Entertainment,29.18,Expense
2020-02-13,Starbucks,Food & Drink,57.39,Expense
2022-02-22,Netflix,Entertainment,46.33,Expense
2021-10-26,Clothes,Shopping,36.01,Expense
2024-05-23,Cinema,Entertainment,7.75,Expense
2023-01-06,Netflix,Entertainment,13.87,Expense
2021-05-10,Netflix,Entertainment,70.42,Expense
2020-03-13,Netflix,Entertainment,17.7,Expense
2021-08-09,Clothes,Shopping,43.92,Expense
2023-11-30,Online Shop,Shopping,11.77,Expense
2024-01-31,McDonalds,Food & Drink,57.88,Expense
2020-07-19,Cinema,Entertainment,103.22,Expense
2023-12-07,Online Shop,Shopping,42.83,Expense
2021-03-15,Electricity Bill,Utilities,33.48,Expense
2021-11-29,Electricity Bill,Utilities,43.65,Expense
2020-11-06,Electricity Bill,Utilities,62.89,Expense
2021-08-05,Online Shop,Shopping,46.54,Expense
2024-12-14,KFC,Food & Drink,64.59,Expense
2023-11-19,Internet,Utilities,121.91,Expense
2020-06-17,Netflix,Entertainment,21.78,Expense
2022-04-13,Internet,Utilities,36.06,Expense
2023-04-17,Internet,Utilities,26.47,Expense
2020-03-12,Electricity Bill,Utilities,57.89,Expense
2020-06-11,McDonalds,Food & Drink,42.6,Expense
2020-05-08,Starbucks,Food & Drink,69.38,Expense
2022-08-17,Online Shop,Shopping,41.45,Expense
2022-06-25,Netflix,Entertainment,92.79,Expense
2020-05-22,Internet,Utilities,8.13,Expense
2020-03-29,Online Shop,Shopping,131.92,Expense
2022-03-22,KFC,Food & Drink,52.87,Expense
2022-02-06,McDonalds,Food & Drink,111.41,Expense
2023-10-21,Netflix,Entertainment,98.33,Expense
2023-10-24,Cinema,Entertainment,31.38,Expense
2020-07-13,McDonalds,Food & Drink,20.55,Expense
2023-01-05,Internet,Utilities,52.66,Expense
2022-12-23,Electricity Bill,Utilities,14.95,Expense
2022-07-05,Starbucks,Food & Drink,10.81,Expense
2022-07-20,Electricity Bill,Utilities,15.02,Expense
2024-04-07,Starbucks,Food & Drink,34.58,Expense
2023-11-13,Cinema,Entertainment,30.94,Expense
2024-04-30,Online Shop,Shopping,79.54,Expense
2021-05-10,KFC,Food & Drink,60.62,Expense
2023-12-14,Internet,Utilities,41.55,Expense
2021-09-21,Internet,Utilities,14.58,Expense
2022-02-14,Starbucks,Food & Drink,15.5,Expense
2020-08-16,Electricity Bill,Utilities,66.02,Expense
2023-03-03,Internet,Utilities,60.76,Expense
2021-04-23,Online Shop,Shopping,14.52,Expense
2021-01-26,Internet,Utilities,75.57,Expense
2020-03-25,Online Shop,Shopping,34.21,Expense
2020-09-13,Internet,Utilities,48.35,Expense
2020-06-17,Online Shop,Shopping,9.5,Expense
2023-07-23,Online Shop,Shopping,99.22,Expense
2020-03-24,Cinema,Entertainment,52.3,Expense
2021-09-09,Electricity Bill,Utilities,5.68,Expense
2024-05-08,Online Shop,Shopping,65.84,Expense
2020-03-08,Clothes,Shopping,79.21,Expense
2021-07-11,Netflix,Entertainment,68.05,Expense
2021-10-06,McDonalds,Food & Drink,48.43,Expense
2021-01-15,Electricity Bill,Utilities,76.07,Expense
2023-04-08,Internet,Utilities,36.0,Expense
2020-06-04,Netflix,Entertainment,47.14,Expense
2020-07-21,KFC,Food & Drink,15.14,Expense
2021-10-31,McDonalds,Food & Drink,29.48,Expense
2022-11-07,KFC,Food & Drink,39.97,Expense
2020-05-23,Online Shop,Shopping,31.1,Expense
2020-04-28,Internet,Utilities,34.57,Expense
2023-12-24,Online Shop,Shopping,117.15,Expense
2020-12-14,Starbucks,Food & Drink,68.26,Expense
2022-08-24,Netflix,Entertainment,13.17,Expense
2021-07-30,Cinema,Entertainment,60.89,Expense
2021-02-23,McDonalds,Food & Drink,6.04,Expense
2024-06-22,Netflix,Entertainment,29.93,Expense
2020-08-29,KFC,Food & Drink,107.5,Expense
2021-03-07,Cinema,Entertainment,93.05,Expense
2024-06-14,Starbucks,Food & Drink,41.24,Expense
2022-07-07,Electricity Bill,Utilities,38.37,Expense
2021-08-20,Cinema,Entertainment,28.72,Expense
2020-02-15,Electricity Bill,Utilities,75.32,Expense
2020-11-28,Cinema,Entertainment,29.69,Expense
2022-05-17,Netflix,Entertainment,53.06,Expense
2020-12-28,Electricity Bill,Utilities,20.36,Expense
2024-03-03,Clothes,Shopping,73.8,Expense
2020-05-06,Electricity Bill,Utilities,36.96,Expense
2023-06-10,Internet,Utilities,57.64,Expense
2021-06-24,Starbucks,Food & Drink,77.93,Expense
2022-03-26,Electricity Bill,Utilities,70.9,Expense
2023-06-25,Online Shop,Shopping,113.56,Expense
2021-03-07,Netflix,Entertainment,26.5,Expense
2024-01-03,Starbucks,Food & Drink,11.69,Expense
2020-04-24,Clothes,Shopping,43.12,Expense
2023-03-12,McDonalds,Food & Drink,24.79,Expense
2020-03-07,Cinema,Entertainment,41.94,Expense
2023-08-06,KFC,Food & Drink,39.44,Expense
2021-11-25,Internet,Utilities,23.76,Expense
2022-02-28,Netflix,Entertainment,6.18,Expense
2022-01-04,Starbucks,Food & Drink,59.61,Expense
2022-04-02,Clothes,Shopping,112.32,Expense
2021-01-16,KFC,Food & Drink,58.44,Expense
2020-10-24,Online Shop,Shopping,63.29,Expense
2024-10-24,Internet,Utilities,70.28,Expense
2023-04-27,Cinema,Entertainment,69.13,Expense
2023-08-16,Cinema,Entertainment,7.89,Expense
2023-12-15,Electricity Bill,Utilities,56.38,Expense
2020-08-25,Clothes,Shopping,64.19,Expense
2023-02-02,Clothes,Shopping,15.7,Expense
2022-05-23,Electricity Bill,Utilities,56.62,Expense
2021-06-16,KFC,Food & Drink,25.72,Expense
2023-11-03,Clothes,Shopping,51.97,Expense
2023-03-28,McDonalds,Food & Drink,24.05,Expense
2024-07-18,Online Shop,Shopping,33.33,Expense
2024-05-06,Internet,Utilities,17.97,Expense
2023-10-16,Electricity Bill,Utilities,64.14,Expense
2020-03-02,KFC,Food & Drink,20.87,Expense
2020-08-24,Cinema,Entertainment,58.62,Expense
2020-05-06,Internet,Utilities,54.03,Expense
2024-08-28,Internet,Utilities,72.69,Expense
2024-11-12,McDonalds,Food & Drink,33.11,Expense
2021-11-27,KFC,Food & Drink,90.9,Expense
2024-04-27,Netflix,Entertainment,115.89,Expense
2021-05-19,Electricity Bill,Utilities,49.65,Expense
2020-07-09,Electricity Bill,Utilities,20.96,Expense
2023-11-13,Clothes,Shopping,75.68,Expense
2023-09-23,Cinema,Entertainment,22.67,Expense
2021-05-24,KFC,Food & Drink,14.53,Expense
2020-02-09,Netflix,Entertainment,123.62,Expense
2024-12-24,Clothes,Shopping,55.16,Expense
2023-08-10,Electricity Bill,Utilities,65.43,Expense
2021-07-04,Cinema,Entertainment,108.68,Expense
2020-09-08,Clothes,Shopping,42.66,Expense
2022-11-20,Cinema,Entertainment,48.42,Expense
2020-10-06,Electricity Bill,Utilities,40.52,Expense
2022-08-22,Clothes,Shopping,26.8,Expense
2020-03-30,Online Shop,Shopping,73.66,Expense
2020-07-04,Clothes,Shopping,69.91,Expense
2024-12-11,Online Shop,Shopping,56.64,Expense
2021-02-05,Cinema,Entertainment,38.71,Expense
2024-12-02,Clothes,Shopping,18.58,Expense
2024-12-21,Electricity Bill,Utilities,77.15,Expense
2021-07-13,Internet,Utilities,28.43,Expense
2024-07-23,Online Shop,Shopping,13.29,Expense
2023-08-25,Starbucks,Food & Drink,32.65,Expense
2023-06-28,KFC,Food & Drink,63.37,Expense
2024-12-22,Clothes,Shopping,142.32,Expense
2024-08-04,Internet,Utilities,34.06,Expense
2023-09-15,Netflix,Entertainment,78.61,Expense
2024-08-08,KFC,Food & Drink,29.8,Expense
2024-07-21,Clothes,Shopping,99.89,Expense
2024-07-10,Cinema,Entertainment,17.91,Expense
2022-03-21,Online Shop,Shopping,34.11,Expense
2024-08-12,Clothes,Shopping,48.42,Expense
2021-06-05,Clothes,Shopping,43.24,Expense
2024-10-26,Electricity Bill,Utilities,124.53,Expense
2021-03-05,Netflix,Entertainment,5.24,Expense
2021-02-21,KFC,Food & Drink,54.13,Expense
2020-01-03,McDonalds,Food & Drink,15.04,Expense
2020-07-07,Electricity Bill,Utilities,21.38,Expense
2024-04-23,Cinema,Entertainment,72.13,Expense
2023-08-07,Internet,Utilities,30.09,Expense
2022-06-10,Starbucks,Food & Drink,71.86,Expense
2022-09-04,Clothes,Shopping,67.27,Expense
2021-10-18,Cinema,Entertainment,22.54,Expense
2023-12-02,Cinema,Entertainment,26.22,Expense
2023-04-03,McDonalds,Food & Drink,24.35,Expense
2023-04-12,Internet,Utilities,71.37,Expense
2020-07-24,Netflix,Entertainment,61.81,Expense
2023-12-03,KFC,Food & Drink,52.37,Expense
2020-12-02,Cinema,Entertainment,25.93,Expense
2021-02-05,Clothes,Shopping,12.64,Expense
2020-08-15,Internet,Utilities,121.93,Expense
2024-03-14,Electricity Bill,Utilities,71.56,Expense
2023-11-20,Electricity Bill,Utilities,18.94,Expense
2024-06-24,Netflix,Entertainment,37.17,Expense
2020-02-27,Cinema,Entertainment,5.34,Expense
2022-06-21,Clothes,Shopping,54.58,Expense
2022-06-07,Online Shop,Shopping,64.63,Expense
2022-05-08,Online Shop,Shopping,106.76,Expense
2024-10-31,Internet,Utilities,49.73,Expense
2021-06-24,Netflix,Entertainment,77.17,Expense
2023-11-20,Cinema,Entertainment,48.75,Expense
2022-08-05,Online Shop,Shopping,25.32,Expense
2021-10-19,Clothes,Shopping,15.23,Expense
2020-01-17,KFC,Food & Drink,23.41,Expense
2023-10-24,McDonalds,Food & Drink,5.06,Expense
2022-04-07,Online Shop,Shopping,8.16,Expense
2021-11-18,Clothes,Shopping,71.01,Expense
2023-07-23,Clothes,Shopping,65.7,Expense
2023-10-04,Starbucks,Food & Drink,25.08,Expense
2022-12-19,Online Shop,Shopping,41.9,Expense
2020-04-07,McDonalds,Food & Drink,76.8,Expense
2023-01-18,Clothes,Shopping,45.44,Expense
2024-11-23,KFC,Food & Drink,97.59,Expense
2021-05-31,Netflix,Entertainment,45.61,Expense
2022-01-22,Cinema,Entertainment,80.7,Expense
2024-08-02,Netflix,Entertainment,25.09,Expense
2024-08-05,Clothes,Shopping,26.12,Expense
2024-03-15,McDonalds,Food & Drink,70.96,Expense
2022-12-23,Clothes,Shopping,56.21,Expense
2022-04-14,Cinema,Entertainment,34.24,Expense
2022-06-02,Internet,Utilities,60.86,Expense
2024-05-19,Electricity Bill,Utilities,85.43,Expense
2022-08-17,Online Shop,Shopping,78.73,Expense
2023-08-31,Internet,Utilities,27.22,Expense
2022-12-28,Internet,Utilities,76.4,Expense
2022-08-15,Netflix,Entertainment,68.75,Expense
2024-04-04,McDonalds,Food & Drink,49.04,Expense
2022-10-11,Electricity Bill,Utilities,61.29,Expense
2022-03-04,Internet,Utilities,73.09,Expense
2023-12-12,Netflix,Entertainment,48.3,Expense
2023-10-17,Starbucks,Food & Drink,15.65,Expense
2022-05-25,Clothes,Shopping,18.88,Expense
2024-01-05,McDonalds,Food & Drink,5.78,Expense
2022-08-31,Online Shop,Shopping,29.87,Expense
2021-08-18,Online Shop,Shopping,66.51,Expense
2020-05-21,Cinema,Entertainment,14.98,Expense
2023-08-17,Netflix,Entertainment,22.16,Expense
2021-06-03,Internet,Utilities,75.83,Expense
2021-10-09,Clothes,Shopping,59.71,Expense
2024-11-03,Netflix,Entertainment,38.0,Expense
2023-03-05,KFC,Food & Drink,143.56,Expense
2024-09-06,Clothes,Shopping,30.58,Expense
2020-06-20,Starbucks,Food & Drink,135.73,Expense
2021-01-10,Starbucks,Food & Drink,49.71,Expense
2023-07-13,McDonalds,Food & Drink,73.01,Expense
2024-08-07,Online Shop,Shopping,21.42,Expense
2023-05-09,Internet,Utilities,22.7,Expense
2020-10-29,Electricity Bill,Utilities,29.76,Expense
2020-12-27,McDonalds,Food & Drink,86.14,Expense
2022-07-04,Electricity Bill,Utilities,76.69,Expense
2024-03-22,Clothes,Shopping,64.41,Expense
2020-11-02,Internet,Utilities,25.49,Expense
2020-08-28,Cinema,Entertainment,73.16,Expense
2020-08-09,Cinema,Entertainment,75.58,Expense
2022-11-09,KFC,Food & Drink,36.11,Expense
2020-07-18,Netflix,Entertainment,68.47,Expense
2024-03-21,Netflix,Entertainment,40.61,Expense
2024-07-28,Starbucks,Food & Drink,58.78,Expense
2024-08-12,Online Shop,Shopping,27.19,Expense
2021-02-23,Electricity Bill,Utilities,73.17,Expense
2023-10-26,Online Shop,Shopping,74.86,Expense
2021-05-07,Electricity Bill,Utilities,20.51,Expense
2020-08-06,McDonalds,Food & Drink,52.61,Expense
2023-09-12,Netflix,Entertainment,49.38,Expense
2020-12-31,Netflix,Entertainment,33.97,Expense
2020-05-09,Online Shop,Shopping,95.3,Expense
2023-01-12,Netflix,Entertainment,25.59,Expense
2021-03-14,Netflix,Entertainment,44.29,Expense
2022-01-27,Online Shop,Shopping,41.66,Expense
2022-11-14,Starbucks,Food & Drink,20.76,Expense
2022-04-16,Electricity Bill,Utilities,36.59,Expense
2021-06-03,Clothes,Shopping,73.73,Expense
2022-06-25,Online Shop,Shopping,80.28,Expense
2021-08-16,Online Shop,Shopping,10.85,Expense
2024-10-05,Electricity Bill,Utilities,122.89,Expense
2024-05-20,Clothes,Shopping,65.96,Expense
2024-10-11,Clothes,Shopping,62.32,Expense
2021-08-13,Cinema,Entertainment,24.67,Expense
2023-09-08,Online Shop,Shopping,30.68,Expense
2021-07-09,Electricity Bill,Utilities,45.96,Expense
2022-05-24,Starbucks,Food & Drink,72.41,Expense
2024-01-05,Clothes,Shopping,10.16,Expense
2024-04-08,Online Shop,Shopping,68.35,Expense
2023-04-11,KFC,Food & Drink,40.96,Expense
2021-04-02,Cinema,Entertainment,72.24,Expense
2023-04-08,Starbucks,Food & Drink,134.68,Expense
2021-05-18,Clothes,Shopping,33.26,Expense
2024-01-19,Cinema,Entertainment,18.6,Expense
2021-08-13,KFC,Food & Drink,30.18,Expense
2024-08-05,Electricity Bill,Utilities,23.77,Expense
2022-09-04,Netflix,Entertainment,138.7,Expense
2024-03-12,McDonalds,Food & Drink,74.56,Expense
2020-03-19,Clothes,Shopping,52.14,Expense
2022-11-26,Clothes,Shopping,44.31,Expense
2022-04-15,Online Shop,Shopping,7.72,Expense
2024-06-04,McDonalds,Food & Drink,36.05,Expense
2022-11-09,Clothes,Shopping,44.56,Expense
2024-10-24,Clothes,Shopping,38.92,Expense
2023-07-27,Netflix,Entertainment,25.39,Expense
2022-02-25,Cinema,Entertainment,6.63,Expense
2022-01-13,Netflix,Entertainment,50.34,Expense
2020-03-23,KFC,Food & Drink,76.54,Expense
2022-09-19,Cinema,Entertainment,77.07,Expense
2021-10-16,McDonalds,Food & Drink,129.61,Expense
2021-01-30,Internet,Utilities,75.24,Expense
2020-07-19,Clothes,Shopping,104.38,Expense
2024-10-16,KFC,Food & Drink,59.42,Expense
2020-07-22,Cinema,Entertainment,79.91,Expense
2022-10-03,Cinema,Entertainment,49.34,Expense
2021-11-20,Netflix,Entertainment,118.34,Expense
2022-12-24,Cinema,Entertainment,110.84,Expense
2022-05-10,Clothes,Shopping,51.57,Expense
2020-02-27,Cinema,Entertainment,41.29,Expense
2021-05-17,KFC,Food & Drink,32.71,Expense
2021-10-26,Clothes,Shopping,37.88,Expense
2021-12-20,Online Shop,Shopping,47.19,Expense
2022-12-21,Online Shop,Shopping,28.43,Expense
2020-03-12,Online Shop,Shopping,44.08,Expense
2020-03-27,Cinema,Entertainment,74.38,Expense
2020-06-03,Clothes,Shopping,5.8,Expense
2024-10-19,Cinema,Entertainment,94.95,Expense
2021-09-23,Starbucks,Food & Drink,78.53,Expense
2021-05-18,Starbucks,Food & Drink,33.21,Expense
2024-07-02,Cinema,Entertainment,16.07,Expense
2024-05-10,Clothes,Shopping,62.12,Expense
2023-11-15,Online Shop,Shopping,7.1,Expense
2022-07-23,McDonalds,Food & Drink,25.38,Expense
2020-07-08,Online Shop,Shopping,57.04,Expense
2022-09-14,Electricity Bill,Utilities,67.75,Expense
2024-07-07,Online Shop,Shopping,61.38,Expense
2021-12-26,Netflix,Entertainment,25.84,Expense
2023-12-23,Online Shop,Shopping,101.13,Expense
2021-01-30,Online Shop,Shopping,34.91,Expense
2023-05-26,Clothes,Shopping,56.22,Expense
2020-04-02,Starbucks,Food & Drink,9.05,Expense
2021-06-04,Clothes,Shopping,37.84,Expense
2021-03-05,Cinema,Entertainment,37.63,Expense
2023-10-05,Online Shop,Shopping,27.03,Expense
2020-10-25,Netflix,Entertainment,46.49,Expense
2021-04-18,Cinema,Entertainment,87.67,Expense
2024-09-05,Online Shop,Shopping,68.59,Expense
2024-05-08,Internet,Utilities,51.83,Expense
2020-01-13,Netflix,Entertainment,39.0,Expense
2022-09-21,Online Shop,Shopping,63.91,Expense
2021-02-20,McDonalds,Food & Drink,31.33,Expense
2021-12-23,Cinema,Entertainment,55.42,Expense
2023-04-18,Electricity Bill,Utilities,63.6,Expense
2023-11-12,Netflix,Entertainment,103.6,Expense
2020-08-21,KFC,Food & Drink,63.31,Expense
2024-12-07,Internet,Utilities,77.25,Expense
2022-02-16,Electricity Bill,Utilities,77.23,Expense
2023-08-30,Internet,Utilities,50.58,Expense
2023-04-16,Netflix,Entertainment,128.43,Expense
2024-07-13,Electricity Bill,Utilities,102.45,Expense
2024-04-24,Netflix,Entertainment,44.5,Expense
2024-10-04,KFC,Food & Drink,56.26,Expense
2021-07-06,Online Shop,Shopping,56.93,Expense
2024-03-21,Internet,Utilities,71.61,Expense
2023-05-29,Electricity Bill,Utilities,66.77,Expense
2020-07-14,Starbucks,Food & Drink,59.57,Expense
2023-11-13,McDonalds,Food & Drink,33.96,Expense
2020-07-30,Netflix,Entertainment,43.59,Expense
2024-04-03,McDonalds,Food & Drink,27.71,Expense
2023-12-21,Starbucks,Food & Drink,5.99,Expense
2020-04-15,McDonalds,Food & Drink,36.11,Expense
2020-10-17,Starbucks,Food & Drink,136.25,Expense
2020-03-22,Netflix,Entertainment,29.47,Expense
2020-02-12,Electricity Bill,Utilities,15.21,Expense
